no,planting_date,run_date,planting_days,harvest_date,predicted_planting_days,harvest,alert,max_harvest,min_harvest,solar_radiation,accu_solar_radiation,temperature_max,temperature_min,rainfalls,accu_rainfalls
36,2020/02/04,2020/03/10,35,2020/06/13,130,89.29,100,105.41,52.72,14.1,596.9,24.5,16.1,0,40.9
37,2020/02/04,2020/03/11,36,2020/06/12,129,89.38,100,104.57,49.89,0,596.9,25.2,18.2,0,40.9
38,2020/02/04,2020/03/12,37,2020/06/12,129,89.36,100,99.71,38.91,14.1,611,28.4,19,0,40.9
39,2020/02/04,2020/03/13,38,2020/06/12,129,89.3,100,100.47,37.87,4.2,615.2,21.3,15.3,4,44.9
40,2020/02/04,2020/03/14,39,2020/06/12,129,89.33,100,100.34,37.49,20.7,635.9,24.2,12.4,0.5,45.4
41,2020/02/04,2020/03/15,40,2020/06/12,129,89.36,100,100.21,36.16,23.8,659.7,26.1,14.3,0,45.4
42,2020/02/04,2020/03/16,41,2020/06/12,129,89.36,100,100.18,34.83,22.4,682.1,27.1,16.9,0,45.4
43,2020/02/04,2020/03/17,42,2020/06/12,129,89.35,100,100.24,34.99,10.8,692.9,24.8,18,0,45.4
44,2020/02/04,2020/03/18,43,2020/06/12,129,89.36,100,99.67,33.11,11.7,704.6,26.5,19.3,1,46.4
45,2020/02/04,2020/03/19,44,2020/06/12,129,89.34,100,99.76,27.11,15.1,719.7,26.9,19.7,0,46.4
46,2020/02/04,2020/03/20,45,2020/06/12,129,89.32,100,99.62,33.79,18.2,737.9,28.3,19.1,0,46.4
47,2020/02/04,2020/03/21,46,2020/06/12,129,89,100,100.39,29.37,19.4,757.3,29.8,21.3,0,46.4
48,2020/02/04,2020/03/22,47,2020/06/12,129,88.41,100,100.73,34.53,22.2,779.5,29.5,20.4,0,46.4
49,2020/02/04,2020/03/23,48,2020/06/12,129,89.05,100,101.93,32.26,17.5,797,27.5,19.9,0,46.4
50,2020/02/04,2020/03/24,49,2020/06/11,128,88.34,100,103.47,37.96,23.9,820.9,29.1,20.3,0,46.4
51,2020/02/04,2020/03/25,50,2020/06/11,128,88.08,100,103.59,37.96,23.8,844.7,31.9,20.5,0,46.4
52,2020/02/04,2020/03/26,51,2020/06/11,128,87.92,100,104.57,28.19,23.6,868.3,31.5,21.9,0,46.4
53,2020/02/04,2020/03/27,52,2020/06/11,128,88.19,100,94.26,26.7,12.8,881.1,27.1,17.1,1.3,47.7
54,2020/02/04,2020/03/28,53,2020/06/11,128,88.19,100,94.33,26.68,12.5,893.6,26.9,17.2,2.4,50.1
55,2020/02/04,2020/03/29,54,2020/06/11,128,88.19,100,94.33,26.67,11.7,905.3,26.5,19.6,0,50.1
56,2020/02/04,2020/03/30,55,2020/06/11,128,88.09,100,94.36,26.66,18.1,923.4,29.6,19.4,0,50.1
57,2020/02/04,2020/03/31,56,2020/06/11,128,88.42,100,90.71,25.65,20.6,944,26.2,18.2,0,50.1
58,2020/02/04,2020/04/01,57,2020/06/11,128,88.18,100,90.74,25.6,9.1,953.1,23.8,17.1,6.5,56.6
59,2020/02/04,2020/04/02,58,2020/06/11,128,87.82,100,94.46,26.62,16.2,969.3,26.9,18.8,0,56.6
60,2020/02/04,2020/04/03,59,2020/06/11,128,87.81,100,94.49,26.61,17.7,987,24.7,17.7,0,56.6
61,2020/02/04,2020/04/04,60,2020/06/11,128,87.74,100,94.46,26.58,7,994,21.9,16,2.5,59.1
62,2020/02/04,2020/04/05,61,2020/06/11,128,87.83,100,94.35,26.63,6.8,1000.8,21,15.8,10.5,69.6
63,2020/02/04,2020/04/06,62,2020/06/11,128,87.19,100,103.12,28.13,23.6,1024.4,24.5,16,6.5,76.1
64,2020/02/04,2020/04/07,63,2020/06/11,128,87.2,100,102.96,37.86,18.3,1042.7,25.8,15.3,0,76.1
65,2020/02/04,2020/04/08,64,2020/06/11,128,87.21,100,102.88,37.87,22.1,1064.8,28,18.3,0,76.1
66,2020/02/04,2020/04/09,65,2020/06/11,128,87.21,100,102.78,33.77,24.9,1089.7,28.8,17.6,0,76.1
67,2020/02/04,2020/04/10,66,2020/06/11,128,87.22,100,106.94,28.57,9,1098.7,26.6,19.2,2.5,78.6
68,2020/02/04,2020/04/11,67,2020/06/11,128,87.22,100,106.93,28.76,24,1122.7,22.1,12.4,3,81.6
69,2020/02/04,2020/04/12,68,2020/06/12,129,87.91,100,101.11,36.49,30.4,1153.1,23.2,8.8,0,81.6
70,2020/02/04,2020/04/13,69,2020/06/12,129,87.26,100,106.29,34.28,0,1153.1,21.5,18.5,0,81.6
71,2020/02/04,2020/04/14,70,2020/06/12,129,87.28,100,106.19,34.27,0,1153.1,27,17.1,0,81.6
72,2020/02/04,2020/04/15,71,2020/06/12,129,86.69,100,110.77,35.67,28.3,1181.4,28.3,14.1,0,81.6
73,2020/02/04,2020/04/16,72,2020/06/13,130,87.69,100,100.48,32.3,28.1,1209.5,28.6,16,0,81.6
74,2020/02/04,2020/04/17,73,2020/06/13,130,87.58,100,93.83,36.21,0,1209.5,30.8,19.9,0,81.6
75,2020/02/04,2020/04/18,74,2020/06/13,130,87.59,100,100.41,27.06,15.9,1225.4,32.4,22.3,0,81.6
76,2020/02/04,2020/04/19,75,2020/06/13,130,87.44,100,100.45,27.06,23.8,1249.2,30.8,23.3,0,81.6
77,2020/02/04,2020/04/20,76,2020/06/13,130,87.16,100,100.5,32.33,0,1249.2,29.2,21.7,0,81.6
78,2020/02/04,2020/04/21,77,2020/06/12,129,85.96,100,110.7,35.72,15.6,1264.8,27.9,20,0,81.6
79,2020/02/04,2020/04/22,78,2020/06/13,130,87.1,100,93.94,32.41,0,1264.8,24.1,17.2,7.5,89.1
80,2020/02/04,2020/04/23,79,2020/06/13,130,86.57,100,99.14,34.06,0,1264.8,20,16.8,7,96.1
81,2020/02/04,2020/04/24,80,2020/06/13,130,86.59,100,99.01,33.98,0,1264.8,25.9,17.7,0,96.1
82,2020/02/04,2020/04/25,81,2020/06/13,130,86.6,100,98.94,33.98,0,1264.8,26.8,19.9,0.5,96.6
83,2020/02/04,2020/04/26,82,2020/06/13,130,86.61,100,98.97,28.74,9.6,1274.4,27.3,19.8,0,96.6
84,2020/02/04,2020/04/27,83,2020/06/13,130,86.61,100,100.74,28.74,24.7,1299.1,30.1,19.7,0,96.6
85,2020/02/04,2020/04/28,84,2020/06/13,130,86.61,100,100.67,28.74,29,1328.1,29.6,19.9,0,96.6
86,2020/02/04,2020/04/29,85,2020/06/13,130,85.93,100,105.04,35.53,28.3,1356.4,30.9,19.2,0,96.6
87,2020/02/04,2020/04/30,86,2020/06/13,130,85.83,100,104.39,30.07,0,1356.4,31.4,20.7,0,96.6
88,2020/02/04,2020/05/01,87,2020/06/13,130,85.83,100,103.49,30.17,0,1356.4,31.6,22.8,0,96.6
